company_name,website,region,city,company_size,segment,transport_domain,visible_driver_need,job_ads_url,license_mentions,YKB_mentions,driver_card_mentions,urgency_signal,contact_email,phone,LinkedIn,decision_maker_name,decision_maker_role,procurement_page,supplier_requirements_url,barrier_level,barrier_notes,pilot_accessibility_score,opportunity_score,recommended_entry_point,next_action,research_status,last_checked_date,source_notes
Alfta Frakt AB,not_found,stockholm,Sigtuna,small,A,distribution,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,CE,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,CE distribution Sigtuna/Mälardalen. Appeared in Stockholm CE job search. No DM contact found yet.,55,65,Find owner via allabolag.se. Direct phone or email.,Find contact via allabolag.se,partial,2026-05-10,Source: Indeed Stockholm CE listings. CE distribution Sigtuna area.
Transportfirma Trabé - Börje Ericson AB,not_found,stockholm,Stockholm,small,A,distribution,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,C,yes,not_found,single_ad,not_found,not_found,not_found,Börje Ericson,owner,none,none_found,low,"Family-owned since 1968. Owner name in company name — likely direct DM. C + YKB required.",70,75,Email or call Börje Ericson directly. Zero-risk pilot offer.,Find direct contact via allabolag.se or Eniro,partial,2026-05-10,Source: Indeed Stockholm CE listings. Family firm since 1968. C + YKB confirmed.
Moas Entreprenad AB,not_found,stockholm,Stockholm,small,A,distribution;schakt_bygg,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Small Stockholm distribution. Limited web presence. No DM identified.,45,58,Find owner via allabolag.se.,Look up allabolag.se for owner name and contact,partial,2026-05-10,Source: Indeed Stockholm C driver listings. Distribution role in Stockholm.
Staffan Berglund Transport AB,not_found,stockholm,Huddinge,small,A,distribution,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,C,not_found,not_found,single_ad,not_found,not_found,not_found,Staffan Berglund,owner,none,none_found,low,"Owner name in company name. Huddinge C driver, evening shifts. No web presence found.",60,62,Find contact via allabolag.se or Eniro.,Look up Staffan Berglund direct phone via allabolag.se,partial,2026-05-10,Source: Indeed Stockholm county C driver listings. Evening shift. Huddinge.
Kyl- och Frysexpressen Nord AB,https://kylofrysexpressen.se,stockholm,Stockholm,small,A/E,kylfrys;livsmedelskyla,yes,https://ledigajobb.se/pr/lastbilschauff%C3%B6r-lastbilsf%C3%B6rare/stockholm,C;CE,yes,not_found,multiple_ads,not_found,not_found,not_found,not_found,transport_manager,none,none_found,low,"Refrigerated transport specialist. Both C and CE ads visible. Multiple Stockholm listings. High domain fit.",65,78,Contact via website. Kylfrys drivers in high demand — strong match angle.,Fetch kylofrysexpressen.se contact page for email and DM name,partial,2026-05-10,Source: Indeed + ledigajobb.se Stockholm. Multiple C and CE ads kylfrys. Website found.
Avfallskonsulten i huvudstaden AB,not_found,stockholm,Stockholm,small,A,avfall,yes,not_found,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Small waste/avfall operator in Stockholm. C driver. Limited web presence.,40,55,Find via allabolag.se.,Look up allabolag.se for contact,partial,2026-05-10,Source: Stockholm C driver job search. Avfall domain. Stockholm.
FPS Transport AB,https://fpstransport.se,stockholm,Tumba,small,A,distribution,yes,not_found,C,not_found,not_found,single_ad,jobb.fps@hotmail.com,08-6411777,not_found,not_found,unknown,none,none_found,low,"Email + phone confirmed. Distribution Tumba/Botkyrka. Direct contact via job email.",70,68,Email jobb.fps@hotmail.com or call directly.,Send initial inquiry email to jobb.fps@hotmail.com,partial,2026-05-10,Source: Transport SME research. fpstransport.se. jobb.fps@hotmail.com + 08-6411777.
JPC Entreprenad AB,https://jpcentreprenad.se,stockholm,Lidingö,small,A,schakt_bygg;ekipage,yes,https://jpcentreprenad.se,CE,yes,not_found,single_ad,info@jpcentreprenad.se,08-419-36-090,not_found,not_found,owner,none,none_found,low,"CE + YKB + schakt. Email and phone confirmed. Lidingö-based. Direct contact accessible.",82,82,Email info@jpcentreprenad.se referencing CE+YKB schakt ad. Zero-risk pilot offer.,Find owner name via allabolag.se. Send Template A.,partial,2026-05-10,"Source: Job search research. CE+YKB+förarkort required. Lidingö, 25 employees. info@jpcentreprenad.se confirmed."
Sundsvalls Expressbyrå AB,not_found,stockholm,Stockholm,small,A,fjarrtransport;distribution,yes,not_found,CE,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Stockholm CE operator. Express transport. Limited web presence confirmed.,40,55,Find contact via allabolag.se.,Look up allabolag.se and Eniro for phone and email,partial,2026-05-10,Source: Stockholm CE driver job search. CE mention. No additional details confirmed.
Epic Solutions Event Transport AB,not_found,stockholm,Stockholm,small,A,distribution,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,CE,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,"CE driver. Offers pension + wellness. Event transport — not heavy transport priority domain.",50,50,Deprioritize. Not core CE heavy transport segment.,Deprioritize. Focus on distribution/schakt/kylfrys SMEs first.,partial,2026-05-10,Source: Indeed Stockholm CE listings. Event transport. CE required.
